City,Count
"New York, NY",5744
"Los Angeles, CA",5518
"San Francisco, CA",5514
"Chicago, IL",5328
"Seattle, WA",5242
"Brooklyn, NY",4655
"Portland, OR",4504
"Austin, TX",3857
"San Diego, CA",2909
"Houston, TX",2521
"Denver, CO",2431
"Philadelphia, PA",2194
"Minneapolis, MN",2182
"Washington, DC",2062
"Atlanta, GA",1890
"Oakland, CA",1844
"San Jose, CA",1767
"Pittsburgh, PA",1663
"Tucson, AZ",1480
"Phoenix, AZ",1470
"Las Vegas, NV",1466
"San Antonio, TX",1452
"Dallas, TX",1349
"Miami, FL",1348
"Columbus, OH",1318
"Sacramento, CA",1285
"Albuquerque, NM",1227
"Berkeley, CA",1206
"Orlando, FL",1194
"Baltimore, MD",1188
"Madison, WI",1169
"Indianapolis, IN",1164
"Salt Lake City, UT",1116
"Boulder, CO",1114
"Cincinnati, OH",1058
"Louisville, KY",1014
"Raleigh, NC",1005
"Boston, MA",985
"Eugene, OR",961
"Nashville, TN",911
"Colorado Springs, CO",895
"Saint Paul, MN",882
"Charlotte, NC",854
"Tampa, FL",837
"Cambridge, MA",819
"Rochester, NY",813
"Milwaukee, WI",775
"Ann Arbor, MI",769
"Arlington, VA",762
"Jacksonville, FL",756
"Kansas City, MO",742
"Long Beach, CA",713
"Saint Louis, MO",698
"Durham, NC",697
"Richmond, VA",672
"New Orleans, LA",672
"Alexandria, VA",670
"Santa Cruz, CA",668
"Omaha, NE",665
"Vancouver, WA",664
"Fort Collins, CO",652
"Fort Worth, TX",618
"Knoxville, TN",618
"Somerville, MA",612
"Gainesville, FL",611
"Santa Monica, CA",603
"Spokane, WA",603
"Bellingham, WA",600
"Grand Rapids, MI",592
"Boise, ID",587
"Silver Spring, MD",579
"Santa Rosa, CA",576
"Santa Barbara, CA",572
"Mesa, AZ",568
"Honolulu, HI",560
"Bronx, NY",554
"Tallahassee, FL",537
"Tacoma, WA",530
"Cleveland, OH",522
"Buffalo, NY",522
"Lexington, KY",521
"Marietta, GA",520
"Olympia, WA",516
"Aurora, CO",502
"Tempe, AZ",501
"Beaverton, OR",499
"Mountain View, CA",493
"Irvine, CA",492
"Santa Fe, NM",484
"Bellevue, WA",480
"Sunnyvale, CA",472
"Astoria, NY",472
"Pasadena, CA",469
"Lincoln, NE",468
"Reno, NV",461
"Scottsdale, AZ",457
"Bloomington, IN",455
"Oklahoma City, OK",454
"Littleton, CO",454
"Davis, CA",452
"Beverly Hills, CA",447
"NONE, NONE",447
"Burbank, CA",446
"Memphis, TN",438
"Plano, TX",435
"Fresno, CA",433
"Salem, OR",432
"St. Louis, MO",431
"North Hollywood, CA",429
"Anchorage, AK",428
"Tulsa, OK",421
"Charlottesville, VA",420
"Asheville, NC",416
"Dayton, OH",415
"Virginia Beach, VA",410
"Fort Lauderdale, FL",410
"Riverside, CA",406
"Wichita, KS",403
"Redmond, WA",400
"Columbia, MO",397
"Sarasota, FL",392
"Arlington, TX",391
"Greensboro, NC",381
"Glendale, CA",380
"Longmont, CO",378
"Palo Alto, CA",370
"Lawrence, KS",366
"Chapel Hill, NC",362
"Kirkland, WA",355
"Ithaca, NY",355
"Evanston, IL",354
"Santa Clara, CA",350
"El Paso, TX",347
"Staten Island, NY",345
"Fremont, CA",342
"Henderson, NV",342
"Providence, RI",341
"Bakersfield, CA",341
"Albany, NY",341
"Schenectady, NY",333
"Jersey City, NJ",333
"Provo, UT",331
"Cary, NC",329
"Springfield, MO",328
"Des Moines, IA",327
"Birmingham, AL",327
"Fairfax, VA",327
"Corvallis, OR",326
"Columbia, SC",325
"San Mateo, CA",325
"Baton Rouge, LA",323
"Syracuse, NY",322
"Alameda, CA",321
"Pensacola, FL",319
"Chandler, AZ",319
"Everett, WA",317
"Athens, GA",315
