zz,Count
94110,895
90210,893
12345,635
11215,584
94117,566
98103,558
60647,505
10025,501
94114,484
94109,457
97202,443
98122,416
60640,414
60657,410
95060,409
10003,409
14850,408
11211,407
97214,399
78704,394
98115,386
2139,383
98052,379
11238,373
90027,368
11201,366
90066,360
90026,360
97206,355
60618,354
90034,352
60613,352
94122,351
10009,350
60625,340
78745,339
11222,338
98105,334
95616,333
94103,329
98225,326
90046,325
97405,324
97211,320
48103,315
60622,314
94501,311
94611,309
10011,309
10001,306
98102,304
94107,303
10023,302
97217,288
60626,287
60614,285
94608,285
98117,284
94703,279
2143,275
94610,274
80304,274
98125,273
2130,272
2144,270
97401,270
94118,270
20009,269
2135,267
94609,266
92104,263
97520,263
53703,262
94115,262
80302,259
10024,258
98133,258
97219,255
10128,252
98107,251
78759,251
48104,250
11216,248
90025,248
10002,247
90405,246
20001,246
11206,245
97402,244
90291,243
11217,243
24060,243
94043,242
98109,240
94131,239
95472,239
97330,237
55408,237
53704,237
11218,237
19147,236
98034,235
97213,235
91601,234
2155,234
95062,233
10019,233
97212,229
80301,229
94102,226
55406,226
85281,223
97006,223
80303,223
19104,221
92103,219
97229,218
90036,217
47906,217
55104,216
2138,214
53711,213
93117,211
80526,211
5401,211
0,211
94112,211
87505,208
95112,208
94121,207
85719,207
85282,207
95125,205
90024,205
60202,205
60660,204
91604,203
55414,203
97701,201
98112,201
90028,200
94704,200
80525,200
11231,200
87106,198
10014,198
20002,197
47401,197
97007,197
10027,196
60201,196
10016,196
90068,195
10010,195
95014,194
97124,192
20910,191
48197,190
97223,189
15217,189
65203,189
94086,189
11226,188
55407,188
27606,188
11237,188
94941,188
43202,188
94025,187
98144,187
94901,185
97203,184
78705,184
97215,184
91505,183
32792,183
22903,183
10036,183
10012,183
90039,182
80027,182
43201,182
92116,181
78741,181
7030,181
98119,181
27516,181
11221,180
95008,180
11205,180
98101,179
20010,179
10028,179
78758,179
94087,178
44107,178
94702,177
92024,177
1002,176
97222,175
97209,175
48105,175
95404,175
94530,173
97201,172
94040,172
80305,172
6511,171
61801,171
98155,170
90069,169
80501,169
27713,169
93401,168
66044,167
80521,167
2134,167
11225,166
92101,166
78666,166
91607,165
55105,165
61820,164
90042,164
94602,164
78727,164
90064,163
27705,163
78613,163
80211,163
30030,163
10021,162
92115,162
98502,161
2140,161
80205,161
92122,160
78751,160
78757,160
90045,159
80203,159
94607,159
84606,159
1060,158
11209,158
22201,157
7302,157
30062,157
93101,156
22314,156
94709,155
16801,155
94606,155
21218,154
60302,154
98004,154
80020,154
23220,154
94553,154
60608,154
90004,153
11103,152
94618,152
95051,152
91423,152
80206,152
92109,151
97225,151
11385,151
98229,151
94952,151
80220,151
98118,151
20878,151
19146,151
11105,150
87111,150
10031,150
27513,150
90403,149
90404,149
80026,149
19143,149
94116,149
8540,149
10017,149
94133,148
95618,148
80503,148
94306,148
94403,148
92117,147
90065,147
98033,147
90019,147
85716,147
48823,147
78723,147
78729,147
55418,147
94705,146
78749,146
22204,146
78660,146
53705,146
27514,146
98121,145
80218,145
90048,145
94928,145
10033,145
53211,145
2472,145
52240,145
11106,144
94536,144
80210,144
98012,144
32608,144
20902,144
92126,143
78748,142
2474,142
59801,142
92037,142
2906,141
15213,141
2446,141
60615,141
10029,141
30605,140
97232,140
84103,140
61761,140
11102,139
94612,139
94903,139
97404,139
97302,139
98110,139
87110,138
95926,138
11111,138
77840,138
53207,137
90035,137
20008,137
98116,137
90029,137
2215,136
98501,136
20011,136
84321,136
90049,136
94303,136
97123,136
95630,135
30022,135
19130,135
80401,134
28806,134
19380,134
21044,134
84105,134
43214,133
27707,133
84121,133
80021,133
94105,132
84106,132
94041,132
92630,132
94070,131
92056,131
55112,131
12180,131
95050,131
90266,131
92627,131
93003,131
84102,131
75070,131
94708,130
30306,130
55113,130
19103,130
22030,130
87501,129
95123,129
53719,129
20852,129
12203,128
98226,128
22207,128
98006,128
92130,128
93105,128
10463,128
91001,128
72701,127
91602,127
93063,127
80504,127
11375,127
19148,127
90277,127
59715,127
55416,127
98106,126
2115,126
90802,126
94123,126
78702,126
49503,126
92129,126
84604,126
98104,125
30307,125
47408,125
94549,124
92677,124
95521,124
46220,124
78753,124
32601,124
90230,124
19711,124
66502,123
76201,123
94132,123
92107,123
94706,123
11377,123
2145,123
70115,123
55404,123
97239,123
20036,123
90038,122
95959,122
14620,122
94062,122
1970,122
32765,122
95003,121
75002,121
93065,121
30033,121
78731,121
87108,121
94301,121
20147,121
80204,121
80013,121
98368,121
97210,121
91711,121
10013,121
27612,120
32828,120
21234,120
95126,120
55419,120
20191,119
11104,119
22901,119
60641,119
60642,119
30144,119
70119,119
60610,119
37211,119
32303,119
95403,119
94707,118
60645,118
65201,118
85710,118
99163,118
97301,118
92111,118
91367,118
76137,117
95501,117
28205,117
27701,117
19128,117
60607,117
64111,117
32605,117
20003,117
27613,116
83702,116
2148,116
92691,116
72703,116
75080,116
90803,116
98036,116
96822,116
2478,116
94044,116
90292,115
81301,115
85705,115
37206,115
94619,115
65202,115
20912,115
20814,115
91320,115
32304,115
66062,115
90041,115
87508,115
28803,115
19382,115
96816,115
95476,115
20740,115
20850,115
55417,115
97477,114
4102,114
85711,114
95124,114
22202,114
21701,114
55403,114
80228,114
10007,114
75023,114
78703,114
86001,114
95401,114
94546,113
19460,113
63116,113
1760,113
80524,113
95816,113
20906,113
21211,112
30309,112
32825,112
44118,112
30606,112
61821,112
94550,112
94558,112
30066,112
94010,112
63376,111
11249,111
87114,111
15206,111
2169,111
98199,111
48220,111
97005,111
91401,111
93940,110
97333,110
98126,110
2445,110
61701,110
85032,110
55405,110
83843,110
20170,110
80134,110
77006,110
43026,109
13210,109
55116,109
70118,109
95608,109
94002,109
60630,109
92626,109
10034,109
10032,109
80209,109
20500,109
97224,108
90007,108
73071,108
19446,108
10022,108
94061,108
85712,108
30312,108
48170,108
20854,108
30075,107
50014,107
94566,107
94539,107
30043,107
60637,107
19119,107
22003,107
92656,107
47403,107
48073,107
2453,107
87120,106
97220,106
21212,106
10040,106
53202,106
97045,106
60563,106
20005,106
93405,106
98011,106
21045,106
40205,106
30318,106
27410,105
87507,105
95076,105
91342,105
91606,105
91106,105
85283,105
11372,105
38104,104
37130,104
12866,104
19067,104
60148,104
14607,104
30324,104
91104,104
60004,104
97266,104
95032,104
94523,104
90815,104
26505,104
77450,104
32817,104
55410,104
11229,103
92105,103
63119,103
4103,103
80127,103
80120,103
60611,103
85308,103
10026,103
15237,103
87112,103
95818,103
97267,103
45701,103
27603,103
60605,103
90278,103
27510,103
27511,103
21228,103
98108,102
95129,102
22192,102
19125,102
30316,102
80918,102
60601,102
91335,102
78750,102
65804,102
75206,102
98026,101
92507,101
52402,101
31401,101
33139,101
94804,101
98204,101
11101,101
50010,100
22902,100
95628,100
86004,100
30004,100
91403,100
65807,100
78681,99
91316,99
92647,99
85251,99
7003,99
28801,99
49506,99
94402,99
97008,99
80015,99
37027,98
4101,98
63122,98
46038,98
55901,98
83704,98
97035,98
92128,98
92102,97
80004,97
80123,97
90808,97
80222,97
80226,97
85201,97
14618,97
37209,97
48108,97
78240,97
40204,97
77084,97
32607,97
94947,97
77584,97
94541,96
95070,96
48198,96
94960,96
91344,96
20016,96
20817,96
94954,96
20164,96
93001,96
19335,96
20171,96
99501,96
53213,96
89123,96
75287,95
84095,95
98028,95
98021,95
90001,95
2118,95
43221,95
22203,95
73072,95
54701,95
79912,95
44240,95
87109,95
77008,95
98208,95
20007,95
89117,95
27517,95
92064,95
92009,94
94930,94
98008,94
30047,94
95928,94
54601,94
78728,94
20904,94
91506,93
33176,93
63123,93
66049,93
14580,93
43081,93
90804,93
84057,93
43230,93
20874,93
11230,93
97230,93
78249,93
95945,93
94404,93
63130,93
94080,93
98503,93
22101,93
84047,93
27278,92
55426,92
60540,92
30308,92
19063,92
77379,92
60616,92
32301,92
80212,92
78641,92
22031,92
97702,92
97068,92
15221,92
97034,92
77007,92
80112,92
91360,92
59718,92
30080,92
98056,91
95128,91
90232,91
52246,91
77494,91
85225,91
94127,91
30044,91
16803,91
21042,91
55108,91
98661,91
17603,91
94601,91
92683,91
98136,91
97504,91
60126,91
75093,90
60025,90
77573,90
93010,90
30092,90
96734,90
21230,90
28607,90
14623,90
78701,90
90814,90
40206,90
91942,90
80012,90
98040,90
2476,90
21224,90
45069,89
83709,89
14450,89
84115,89
48067,89
78664,89
30350,89
60402,89
91101,89
30329,89
12065,89
85254,89
87107,89
94577,89
52556,88
60115,88
58103,88
92506,88
30024,88
85718,88
22015,88
94565,88
30096,88
22193,88
60565,88
5403,88
60056,88
22304,88
21117,88
85745,88
75214,88
7306,88
30067,88
30319,88
20165,88
92373,88
33186,88
27615,87
60014,87
98506,87
2141,87
80538,87
91107,87
92646,87
84058,87
95035,87
60062,87
12309,87
19087,87
84043,87
98072,87
7042,87
21401,86
20120,86
11220,86
84111,86
80231,86
46260,86
98087,86
78230,86
55409,86
18901,86
92028,86
22033,86
77479,86
45140,86
85204,86
10038,86
53212,86
98201,86
80014,86
94605,86
68502,86
44106,86
98027,85
55423,85
35758,85
94022,85
78746,85
43220,85
92008,85
12603,85
59601,85
78665,85
94568,85
60076,85
19038,85
12401,85
30076,85
75006,85
94538,85
20815,85
1915,85
95136,85
27609,85
94588,85
20901,85
84107,85
40207,85
53217,85
8807,85
97501,85
55413,85
63021,84
60010,84
55124,84
78209,84
12561,84
27703,84
11746,84
90016,84
98370,84
61704,84
77845,84
77077,84
55106,84
4401,84
77005,84
77009,84
90731,84
95409,84
23464,84
89129,84
55422,83
75067,83
13760,83
80003,83
98059,83
95831,83
89509,83
97205,83
85224,83
91030,83
92071,83
91206,83
91941,83
3301,83
22407,83
91355,83
1701,83
28804,83
97403,83
95134,83
95670,83
21043,83
94710,83
92592,83
60030,83
94401,83
98042,83
30084,83
94544,82
95826,82
60091,82
3820,82
53562,82
55117,82
33040,82
92870,82
80128,82
3801,82
92131,82
43235,82
33617,82
97218,82
27403,82
28277,82
29464,82
28078,82
92123,82
99801,82
91406,82
98070,82
37076,81
66212,81
23452,81
99203,81
99205,81
91501,81
80031,81
94024,81
8054,81
70117,81
60137,81
98005,81
21702,81
37215,81
27502,81
88011,81
60089,81
90012,81
15201,81
33647,81
92704,81
30064,81
92110,81
20175,81
98512,81
40517,81
53715,81
53714,81
94521,81
97080,81
95405,81
28403,80
8904,80
80233,80
80246,80
89503,80
92648,80
75007,80
90630,80
75056,80
77025,80
60504,80
33133,80
43016,80
80111,80
92069,80
83705,79
77449,79
80903,79
33458,79
14534,79
55337,79
89108,79
66046,79
22801,79
2131,79
11743,79
55555,79
46032,79
90265,79
85018,79
94085,79
23221,79
97062,79
85202,79
1752,79
97233,79
99504,79
49504,79
1720,79
19403,79
78752,79
84601,79
10065,79
37221,79
90503,79
2125,78
37917,78
23454,78
94597,78
15218,78
58102,78
92057,78
94587,78
98058,78
95503,78
95006,78
91605,78
43215,78
52245,78
48910,78
95118,78
15232,78
11213,78
85016,78
98146,78
80227,78
75024,78
87544,78
60068,78
89074,78
56001,78
55102,78
84109,78
17601,78
30341,78
90272,78
80920,78
98074,78
98682,78
91214,77
1742,77
94590,77
94598,77
7960,77
94965,77
37075,77
34698,77
30188,77
77429,77
50613,77
37923,77
77096,77
97304,77
27604,77
94108,77
11232,77
11235,77
30102,77
60035,77
94015,77
68506,77
91362,77
97216,77
59802,77
22180,77
87124,76
80909,76
32935,76
10075,76
22206,76
60073,76
41017,76
37216,76
47150,76
43085,76
27587,76
76051,76
78212,76
96753,76
84020,76
97030,76
75075,76
37604,76
98043,76
2176,76
91405,76
77057,76
8854,76
60123,76
27519,76
60016,75
91311,75
23188,75
84010,75
95073,75
22042,75
23223,75
80439,75
84062,75
92612,75
80537,75
95054,75
60007,75
98177,75
8816,75
66061,75
90254,75
75218,75
97306,75
91016,75
27607,75
77070,75
92651,75
19144,75
27312,75
47404,75
90020,75
19083,75
95482,75
10301,75
6880,75
2127,74
87123,74
83706,74
95747,74
20190,74
21236,74
37830,74
92780,74
32803,74
92020,74
32708,74
95814,74
91786,74
85044,74
99362,74
94551,74
